"TimeStamp,GazePointXLeft,GazePointYLeft,ValidityLeft,GazePointXRight,GazePointYRight,ValidityRight,GazePointX,GazePointY,PupilSizeLeft,PupilValidityLeft,PupilSizeRight,PupilValidityRight,PupilSize,Trigger,Subject_ID,Calibration_status"
"1435.2,,,0,,,0,,,,0,,0,,3001,0,0"
"1451.9,,,0,,,0,,,,0,,0,,3001,0,0"
"1468.5,,,0,,,0,,,,0,,0,,3001,0,0"
"1485.2,,,0,,,0,,,,0,,0,,3001,0,0"
"1501.9,,,0,,,0,,,,0,,0,,3001,0,0"
"1518.5,,,0,,,0,,,,0,,0,,3001,0,0"
"1535.2,,,0,,,0,,,,0,,0,,3001,0,0"
"1551.8,,,0,,,0,,,,0,,0,,3001,0,0"
"1568.5,,,0,,,0,,,,0,,0,,3001,0,0"
"1585.1,,,0,,,0,,,,0,,0,,3001,0,0"
"1601.8,,,0,,,0,,,,0,,0,,3001,0,0"
"1618.4,,,0,,,0,,,,0,,0,,3001,0,0"
"1635.1,,,0,,,0,,,,0,,0,,3001,0,0"
"1651.7,,,0,,,0,,,,0,,0,,3001,0,0"
"1668.4,,,0,,,0,,,,0,,0,,3001,0,0"
"1685.1,,,0,,,0,,,,0,,0,,3001,0,0"
"1701.7,,,0,,,0,,,,0,,0,,3001,0,0"
"1718.4,,,0,,,0,,,,0,,0,,3001,0,0"
"1735.0,,,0,,,0,,,,0,,0,,3001,0,0"
"1751.7,,,0,,,0,,,,0,,0,,3001,0,0"
"1768.3,,,0,,,0,,,,0,,0,,3001,0,0"
"1785.0,,,0,,,0,,,,0,,0,,3001,0,0"
"1801.6,,,0,,,0,,,,0,,0,,3001,0,0"
"1818.3,,,0,,,0,,,,0,,0,,3001,0,0"
"1835.0,,,0,,,0,,,,0,,0,,3001,0,0"
"1851.6,,,0,,,0,,,,0,,0,,3001,0,0"
"1868.3,,,0,,,0,,,,0,,0,,3001,0,0"
"1884.9,,,0,,,0,,,,0,,0,,3001,0,0"
"1901.6,,,0,,,0,,,,0,,0,,3001,0,0"
"1918.2,,,0,,,0,,,,0,,0,,3001,0,0"
"1934.9,,,0,,,0,,,,0,,0,,3001,0,0"
"1951.5,,,0,,,0,,,,0,,0,,3001,0,0"
